origin,year,month,day,hour,temp,wind_speed,precip,visib,time_hour
EWR,2013,1,1,1,39.02,10.35702,0,10,01/01/2013 01:00
EWR,2013,1,1,2,39.02,8.05546,0,10,01/01/2013 02:00
EWR,2013,1,1,3,39.02,11.5078,0,10,01/01/2013 03:00
EWR,2013,1,1,4,39.92,12.65858,0,10,01/01/2013 04:00
EWR,2013,1,1,5,39.02,12.65858,0,10,01/01/2013 05:00
EWR,2013,1,1,6,37.94,11.5078,0,10,01/01/2013 06:00
EWR,2013,1,1,7,39.02,14.96014,0,10,01/01/2013 07:00
EWR,2013,1,1,8,39.92,10.35702,0,10,01/01/2013 08:00
EWR,2013,1,1,9,39.92,14.96014,0,10,01/01/2013 09:00
EWR,2013,1,1,10,41,13.80936,0,10,01/01/2013 10:00
EWR,2013,1,1,11,41,14.96014,0,10,01/01/2013 11:00
EWR,2013,1,1,13,39.2,16.11092,0,10,01/01/2013 13:00
EWR,2013,1,1,14,39.02,13.80936,0,10,01/01/2013 14:00
EWR,2013,1,1,15,37.94,9.20624,0,10,01/01/2013 15:00
EWR,2013,1,1,16,37.04,13.80936,0,10,01/01/2013 16:00
EWR,2013,1,1,17,35.96,11.5078,0,10,01/01/2013 17:00
EWR,2013,1,1,18,33.98,12.65858,0,10,01/01/2013 18:00
EWR,2013,1,1,19,33.08,10.35702,0,10,01/01/2013 19:00
EWR,2013,1,1,20,32,14.96014,0,10,01/01/2013 20:00
EWR,2013,1,1,21,30.02,18.41248,0,10,01/01/2013 21:00
EWR,2013,1,1,22,28.94,18.41248,0,10,01/01/2013 22:00
EWR,2013,1,1,23,28.04,16.11092,0,10,01/01/2013 23:00
EWR,2013,1,2,0,26.96,14.96014,0,10,02/01/2013 00:00
EWR,2013,1,2,1,26.06,12.65858,0,10,02/01/2013 01:00
EWR,2013,1,2,2,24.98,13.80936,0,10,02/01/2013 02:00
EWR,2013,1,2,3,24.08,14.96014,0,10,02/01/2013 03:00
EWR,2013,1,2,4,24.08,12.65858,0,10,02/01/2013 04:00
EWR,2013,1,2,5,24.08,6.90468,0,10,02/01/2013 05:00
EWR,2013,1,2,6,24.08,3.45234,0,10,02/01/2013 06:00
EWR,2013,1,2,7,24.98,6.90468,0,10,02/01/2013 07:00
EWR,2013,1,2,8,24.98,9.20624,0,10,02/01/2013 08:00
EWR,2013,1,2,9,26.96,11.5078,0,10,02/01/2013 09:00
EWR,2013,1,2,10,28.94,9.20624,0,10,02/01/2013 10:00
EWR,2013,1,2,11,30.92,14.96014,0,10,02/01/2013 11:00
EWR,2013,1,2,12,32,12.65858,0,10,02/01/2013 12:00
EWR,2013,1,2,13,33.98,16.11092,0,10,02/01/2013 13:00
EWR,2013,1,2,14,33.98,17.2617,0,10,02/01/2013 14:00
EWR,2013,1,2,15,33.98,13.80936,0,10,02/01/2013 15:00
EWR,2013,1,2,16,32,6.90468,0,10,02/01/2013 16:00
EWR,2013,1,2,17,32,12.65858,0,10,02/01/2013 17:00
EWR,2013,1,2,18,30.92,11.5078,0,10,02/01/2013 18:00
EWR,2013,1,2,19,30.92,6.90468,0,10,02/01/2013 19:00
EWR,2013,1,2,20,30.02,9.20624,0,10,02/01/2013 20:00
EWR,2013,1,2,21,30.02,5.7539,0,10,02/01/2013 21:00
EWR,2013,1,2,22,28.94,8.05546,0,10,02/01/2013 22:00
EWR,2013,1,2,23,28.94,9.20624,0,10,02/01/2013 23:00
